fold,train_end,test,model,n_train,n_train_pos,n_test,n_test_pos,n_test_closed,C,auc,brier,status,base_rate_test,mean_p,spec,grid
1965|1966-1970,1965,1966-1970,M1,795,35,84,1,84,1.0,0.4819277108433735,0.02020459097928223,ok,0.011904761904761904,0.03912720946559221,E0_full,tiling
1965|1966-1970,1965,1966-1970,M2,869,38,89,1,89,100.0,0.8181818181818182,0.011131151226703918,ok,0.011235955056179775,0.018804107822759673,E0_full,tiling
1970|1971-1975,1970,1971-1975,M1,879,35,82,8,82,1.0,0.5912162162162162,0.10653083361883561,ok,0.0975609756097561,0.02077388068108281,E0_full,tiling
1970|1971-1975,1970,1971-1975,M2,958,38,87,8,87,100.0,0.7990506329113924,0.08815125934922624,ok,0.09195402298850575,0.012267513084246786,E0_full,tiling
1975|1976-1980,1975,1976-1980,M1,964,40,72,6,72,10.0,0.5454545454545454,0.090142751099927,ok,0.08333333333333333,0.05608420263102901,E0_full,tiling
1975|1976-1980,1975,1976-1980,M2,1048,43,77,6,77,100.0,0.4953051643192488,0.07695862669611049,ok,0.07792207792207792,0.014762747911396491,E0_full,tiling
1980|1981-1985,1980,1981-1985,M1,1042,47,71,0,71,10.0,,0.06749734933163484,ok,0.0,0.1303370686108361,E0_full,tiling
1980|1981-1985,1980,1981-1985,M2,1131,50,76,0,76,100.0,,0.006264423962499426,ok,0.0,0.039745625023856666,E0_full,tiling
1985|1986-1990,1985,1986-1990,M1,1112,50,81,0,81,10.0,,0.05485338720727265,ok,0.0,0.13253090474432938,E0_full,tiling
1985|1986-1990,1985,1986-1990,M2,1206,53,86,0,86,100.0,,0.03857648316508768,ok,0.0,0.09497820702210148,E0_full,tiling
1990|1991-1995,1990,1991-1995,M1,1186,50,85,0,85,0.1,,0.01769320757049156,ok,0.0,0.0848603644698965,E0_full,tiling
1990|1991-1995,1990,1991-1995,M2,1285,53,90,0,90,100.0,,0.012312067379034031,ok,0.0,0.07091095952777013,E0_full,tiling
1995|1996-2000,1995,1996-2000,M1,1270,50,83,0,83,1.0,,0.007212122904019286,ok,0.0,0.05147440281154915,E0_full,tiling
1995|1996-2000,1995,1996-2000,M2,1374,53,88,0,88,100.0,,0.005485492831933963,ok,0.0,0.05211263874667944,E0_full,tiling
2000|2001-2005,2000,2001-2005,M1,1354,50,85,0,85,1.0,,0.003997446791097349,ok,0.0,0.040924236175723654,E0_full,tiling
2000|2001-2005,2000,2001-2005,M2,1463,53,90,0,90,100.0,,0.0035794203106359833,ok,0.0,0.040807337650858415,E0_full,tiling
2005|2006-2010,2005,2006-2010,M1,1438,50,85,6,85,1.0,0.6856540084388185,0.06008039998352084,ok,0.07058823529411765,0.05154180948172207,E0_full,tiling
2005|2006-2010,2005,2006-2010,M2,1552,53,90,6,90,100.0,0.7698412698412699,0.055938232292851074,ok,0.06666666666666667,0.04508127103443415,E0_full,tiling
2010|2011-2015,2010,2011-2015,M1,1523,51,76,0,76,10.0,,0.025180514542031178,ok,0.0,0.07984808854302337,E0_full,tiling
2010|2011-2015,2010,2011-2015,M2,1642,54,81,0,81,100.0,,0.005925464127087349,ok,0.0,0.04968738889899925,E0_full,tiling
2015|2016-2020,2015,2016-2020,M1,1605,56,80,0,33,1.0,,0.0028110901859193477,ok,0.0,0.03609719265620323,E0_full,tiling
2015|2016-2020,2015,2016-2020,M2,1729,59,85,0,35,100.0,,0.009193068704272458,ok,0.0,0.05835418511943174,E0_full,tiling
1950|1951-1955,1950,1951-1955,M1,747,43,66,0,66,3.0,,0.010380598709268912,ok,0.0,0.06077941063610311,E0_R1,tiling
1950|1951-1955,1950,1951-1955,M2,821,46,69,0,69,100.0,,0.0028965881704029342,ok,0.0,0.0298627561887715,E0_R1,tiling
1955|1956-1960,1955,1956-1960,M1,791,44,77,0,77,1.0,,0.005750966689509513,ok,0.0,0.04775589429144885,E0_R1,tiling
1955|1956-1960,1955,1956-1960,M2,865,47,82,0,82,100.0,,0.0017508014123229498,ok,0.0,0.02473341278528046,E0_R1,tiling
1960|1961-1965,1960,1961-1965,M1,865,44,83,0,83,0.05,,0.004797308026827537,ok,0.0,0.0688977767271848,E0_R1,tiling
1960|1961-1965,1960,1961-1965,M2,944,47,88,0,88,100.0,,0.0009064926321993085,ok,0.0,0.01804166073896208,E0_R1,tiling
1965|1966-1970,1965,1966-1970,M1,943,44,84,1,84,1.0,0.6265060240963856,0.012415491774091151,ok,0.011904761904761904,0.025659502294133534,E0_R1,tiling
1965|1966-1970,1965,1966-1970,M2,1027,47,89,1,89,100.0,0.9090909090909091,0.01079147060633739,ok,0.011235955056179775,0.013503645812892448,E0_R1,tiling
1970|1971-1975,1970,1971-1975,M1,1027,44,82,8,82,1.0,0.847972972972973,0.09253137287329964,ok,0.0975609756097561,0.0148076912639821,E0_R1,tiling
1970|1971-1975,1970,1971-1975,M2,1116,47,87,8,87,100.0,0.8670886075949367,0.08779950233973131,ok,0.09195402298850575,0.009543711766762695,E0_R1,tiling
1975|1976-1980,1975,1976-1980,M1,1112,49,72,6,72,3.0,0.7651515151515151,0.07579087152407796,ok,0.08333333333333333,0.022380112703856956,E0_R1,tiling
1975|1976-1980,1975,1976-1980,M2,1206,52,77,6,77,100.0,0.5258215962441315,0.07619843850687662,ok,0.07792207792207792,0.010958072304335402,E0_R1,tiling
1980|1981-1985,1980,1981-1985,M1,1190,56,73,0,73,3.0,,0.0333198441603996,ok,0.0,0.09561551503257786,E0_R1,tiling
1980|1981-1985,1980,1981-1985,M2,1289,59,78,0,78,100.0,,0.0035772624827284352,ok,0.0,0.0330144703155899,E0_R1,tiling
1985|1986-1990,1985,1986-1990,M1,1260,59,81,0,81,3.0,,0.02806922663170395,ok,0.0,0.0836768112037476,E0_R1,tiling
1985|1986-1990,1985,1986-1990,M2,1364,62,86,0,86,100.0,,0.026597066521724343,ok,0.0,0.0755059503949988,E0_R1,tiling
1990|1991-1995,1990,1991-1995,M1,1336,59,85,0,85,0.05,,0.005911127310018912,ok,0.0,0.07059427791587591,E0_R1,tiling
1990|1991-1995,1990,1991-1995,M2,1445,62,90,0,90,100.0,,0.010572044089191468,ok,0.0,0.06419351640991965,E0_R1,tiling
1995|1996-2000,1995,1996-2000,M1,1420,59,84,0,84,1.0,,0.011460383043640734,ok,0.0,0.0667560699217771,E0_R1,tiling
1995|1996-2000,1995,1996-2000,M2,1534,62,89,0,89,100.0,,0.005216943093838366,ok,0.0,0.04904044858652901,E0_R1,tiling
2000|2001-2005,2000,2001-2005,M1,1504,59,85,0,85,1.0,,0.009477352341770842,ok,0.0,0.05598449007304843,E0_R1,tiling
2000|2001-2005,2000,2001-2005,M2,1623,62,90,0,90,100.0,,0.003840354103874982,ok,0.0,0.040181483378910414,E0_R1,tiling
2005|2006-2010,2005,2006-2010,M1,1589,59,85,6,85,1.0,0.79957805907173,0.051040383739770524,ok,0.07058823529411765,0.05883564686085185,E0_R1,tiling
2005|2006-2010,2005,2006-2010,M2,1713,62,90,6,90,100.0,0.7817460317460317,0.05316689116578987,ok,0.06666666666666667,0.047014355918429895,E0_R1,tiling
2010|2011-2015,2010,2011-2015,M1,1674,60,76,0,76,10.0,,0.004900032670957302,ok,0.0,0.03606544460526019,E0_R1,tiling
2010|2011-2015,2010,2011-2015,M2,1803,63,81,0,81,100.0,,0.006609899482594134,ok,0.0,0.050027665794198595,E0_R1,tiling
2015|2016-2020,2015,2016-2020,M1,1756,65,82,0,33,10.0,,0.00479719842006747,ok,0.0,0.038785117993273395,E0_R1,tiling
2015|2016-2020,2015,2016-2020,M2,1890,68,87,0,35,100.0,,0.011117874781840514,ok,0.0,0.05943864121196812,E0_R1,tiling
