country,year,debt_gdp,d_debt_gdp_3y,int_rev,primary_bal_gdp,r_minus_g_3y,slope,real_ltrate_3y,infl,d_infl_3y,ca_gdp,ca_persist_3y,rer_usd_chg_3y,real_wage_g_3y,credit_gap_5y,credit_gap_7y,credit_gap_10y,int_rev_is_proxy,primary_bal_uses_int_proxy,ca_persist_is_ext_proxy
Australia,1870,0.17256799999999997,,,,,0.0003181700000000065,,,,-0.029445320432991657,,,,,,,False,False,False
Australia,1871,0.191799,,,,,0.0024463300000000035,,-0.015384371124230412,,0.024866581584420486,,,,,,,False,False,False
Australia,1872,0.15492,,,,,0.0013734999999999997,,-0.04687499414062568,,0.03459822339489886,0.010006494848775896,,,,,,False,False,True
Australia,1873,0.14269199999999999,-0.029875999999999986,,,0.015832473922085227,0.002719580000000006,0.06747270175495204,0.0,,-0.041449061304119454,0.006005247891733297,-0.03478929473174186,0.16902723742186132,,,,False,False,True
Australia,1874,0.19432200000000002,0.0025230000000000252,,,-0.004814659296776581,0.0015331700000000073,0.04576472757388379,0.049180321418974327,0.06456469254320474,-0.019347516517143056,-0.008732784808787883,-0.0602610322733943,0.15841584158415833,-0.0026130976450708943,,,False,False,True
Australia,1875,0.233687,0.078767,,,-0.03426714011224117,-0.000926750000000004,0.018263185829086523,0.03124987109376609,0.07812486523439177,-0.026297588614750286,-0.029031388812004264,-0.1887563635096039,0.06643370629370615,0.014010760935608324,,,False,False,True
Australia,1876,0.158506,0.015814000000000022,,,-0.003616665150355053,-0.00034091999999999456,0.013798470374541079,0.015151636363636367,0.015151636363636367,-0.02233538777870591,-0.022660164303533084,-0.1627536681481725,-0.008981628831145838,0.020530862990736032,0.020010876713052517,,False,False,True
Australia,1877,0.17609200000000003,-0.018229999999999996,,,0.0004965095867024705,-0.0011115000000000014,0.018471123080393115,0.02985062330141819,-0.019329698117556138,-0.046626279410827,-0.031753085268094394,-0.08346904599871952,-0.016970024526198335,0.05036415324220389,0.0566464046367568,,False,False,True
Australia,1878,0.172852,-0.060835,,,0.023086042871576496,-0.003571999999999999,0.03425820330005426,-0.014492869565217337,-0.04574274065898343,-0.05037287326549491,-0.03977818015167594,0.008550565996371828,-0.013235178027668049,0.04038776151845436,0.05269713680219318,,False,False,True
Australia,1879,0.208934,0.050428,,,0.032834863583381474,-0.002966500000000004,0.05071813226093896,-0.02941165051901773,-0.044563286882654096,-0.03687559143643105,-0.044624914704250986,0.053618749951211075,0.015151636363636145,0.006968345454918756,0.022188102060455295,0.03148175688320659,False,False,True
Australia,1880,0.222212,0.04611999999999997,,,0.04924383376880237,-0.0029059199999999993,0.06882988972504808,-0.030302909090909158,-0.06015353239232735,0.0022821480018587388,-0.02832210556668907,0.08560323920383262,0.11290308669356564,-0.028598304581908762,-0.015906979587653913,-0.0037100010413883,False,False,True
Australia,1881,0.232202,0.059349999999999986,,,0.05408398317592432,-0.009184999999999999,0.06292822755226216,-0.01562512304685959,-0.0011322534816422536,-0.057463333884570866,-0.030685592439714388,0.11524997955935268,0.14129572833723647,0.009101459570842685,0.020146376310981373,0.035920340700114683,False,False,True
Australia,1882,0.23254999999999998,0.02361599999999997,,,0.060721204831910465,-0.006779083999999998,0.048239212426875316,0.015873142857142808,0.04528479337616054,-0.07928391086001255,-0.04482169891424156,0.05032205225204933,0.11509132402821831,0.056103964167841636,0.06225785654145877,0.08076502183642015,False,False,True
Australia,1883,0.24091,0.01869800000000002,,,-0.018528458017052822,-0.006831830000000004,0.003627251287186231,0.10937473632815808,0.13967764541906724,-0.06509806260616356,-0.06728176911691565,-0.11180859632439466,-0.02816878310352522,0.04766486848133905,0.04925380874482499,0.06895526842939148,False,False,True
