country,year,onset,rule,in_exclusion,_infl,_debt,_debt_lag,_real_bond_ret
Belgium,1923,True,D3,False,0.14745308310991967,1.26439,1.41229,-0.2530734875700742
Belgium,1938,True,D3,False,0.035374149659864074,0.692671,0.718174,-0.15008792176392338
Finland,1945,True,"D2,D3",False,0.4022125642038721,0.5864514827660541,0.7113549393983741,-0.2533229090090737
France,1914,True,D3,False,0.020408163265306145,0.6635,0.6635,-0.15945086985826495
France,1924,True,D3,False,0.14035087719298245,1.9241,2.1682,-0.15364139148822198
France,1937,True,"D2,D3",False,0.26249999999999996,1.0676,1.4116,-0.23767248887826897
Germany,1932,True,D1,False,-0.11029411752311291,0.43,0.35,0.3982053993184591
Germany,1948,True,D1,False,0.15384615426076165,1.74,1.74,
Ireland,1981,True,D2,False,0.20408621463852739,0.7183304303855076,0.6658471367404986,
Ireland,2010,True,D4,False,-0.009452387375236238,0.8617791247490891,0.6175387982152284,
Italy,1915,True,D3,False,0.06999798008048619,0.9142665202711452,0.8035615015381791,-0.16106782476151582
Italy,1940,True,D1,False,0.16699686179130357,0.8293804861781046,0.8065508546063915,-0.08127227773464107
Italy,1974,True,D4,False,0.19402985074626855,0.483308743843726,0.48755960107368257,-0.24410463711246844
Japan,1942,True,D1,False,0.027562046260340978,1.0508991799058547,0.9307369921596579,0.009963342743895431
Netherlands,1915,True,D3,False,0.15000004262612143,0.607237,0.6366879999999999,-0.1817518464984189
Netherlands,1939,True,D3,False,0.00877188171875476,1.10845,1.17858,-0.19207114430337047
Netherlands,1951,True,D3,False,0.11926589947926858,1.1839199999999999,1.37309,-0.17520204979402298
Netherlands,1957,True,D3,False,0.060956845595571574,0.726475,0.749714,-0.16148376904281236
Portugal,1873,True,"D2,D3",False,0.3194444444444444,0.5833333333333334,0.6177062374245473,-0.16654458924343707
Portugal,1890,True,D3,False,0.13157894736842102,0.6654320987654321,0.6469864698646987,-0.18302286398965262
Portugal,1916,True,D2,False,0.2232142857142856,0.5827910339840926,0.6158940397350994,-0.13243169680128997
Portugal,1922,True,D2,False,0.20902090209020918,0.652748328168325,0.7390180878552972,-0.07640736316202779
Portugal,1977,True,D4,False,0.3297199638663053,0.282349,0.257664,-0.36759949577769835
Portugal,1983,True,D4,False,0.2550010861193941,0.466937,0.42987400000000003,-0.060698387442833845
Portugal,2011,True,"D3,D4",False,0.03554878572041531,1.144031,1.002145,-0.336926659540164
Spain,1873,True,D1,False,0.07790737175857765,,,
Spain,1882,True,D1,False,0.0364238419247227,1.1223106577104522,1.4368287140689706,
Spain,1936,True,D1,False,0.018572251199695966,0.6585609061117166,0.6585609061117166,-0.06491511908389014
Spain,1947,True,"D2,D3",False,0.20379370037274347,0.5510805079015572,0.6119930675909878,-0.17136760724464095
Spain,1978,True,D4,False,0.19773478534057864,0.12653,0.125257,-0.19698825267781583
UK,1917,True,"D2,D3",False,0.252,0.9784581549586707,0.6558491332265084,-0.17680723443865398
UK,1947,True,D3,False,0.07000000000000006,2.641249199995674,2.6979759688585316,-0.19938950616622642
UK,1973,True,D3,False,0.09346330275229353,0.5456218471233931,0.6204161833699773,-0.1658348045739192
USA,1947,True,D3,False,0.14358974358974375,1.0759999999999998,1.189,-0.15123382992541323
