grid,spec,model,n,pos,auc,brier
original,E0_full,M1,572,8,0.3125,0.03733804400642049
original,E0_full,M2_on_M1_rows,572,8,0.5921985815602837,0.0188924734933231
original,E0_R1,M1,583,8,0.44956521739130434,0.02219888178664714
original,E0_R1,M2_on_M1_rows,583,8,0.6104347826086957,0.01767625542097665
tiling,E0_full,M1,1053,21,0.4398763381321521,0.03840097541124679
tiling,E0_full,M2_on_M1_rows,1053,21,0.6081349206349206,0.025457492429071922
tiling,E0_R1,M1,1066,21,0.5877876509455456,0.025759220193413812
tiling,E0_R1,M2_on_M1_rows,1066,21,0.6323991797676008,0.023209522940975242
